,Open,neg,neu,pos,compound,label
130,36.59,0.09,0.79,0.12,0.6597,0
131,35.599998,0.055,0.846,0.099,0.8074,0
132,33.540001,0.016,0.892,0.092,0.8838,1
133,34.619999,0.031,0.907,0.062,0.296,0
134,33.860001,0.143,0.804,0.054,-0.4588,1
135,33.959999,0.071,0.779,0.15,0.6046,0
136,34.400002,0,0.826,0.174,0.8519,0
137,34.09,0,1,0,0,0
138,33.580002,0.113,0.724,0.163,0.0258,1
139,33.5,0,0.905,0.095,0.4939,0
140,34.610001,0.07,0.847,0.082,0.128,0
141,34.73,0,0.818,0.182,0.8402,0
142,34.610001,0.089,0.82,0.092,0.0258,0
143,34.48,0.02,0.898,0.082,0.7346,1
144,35.049999,0.067,0.779,0.154,0.9593,1
145,34.639999,0.034,0.712,0.253,0.9325,1
146,34.689999,0.081,0.8,0.118,0.25,1
147,35.900002,0,0.849,0.151,0.796,1
148,36.349998,0,0.872,0.128,0.6124,0
149,35.900002,0.041,0.82,0.139,0.9228,0
150,35.189999,0.093,0.801,0.105,-0.0772,0
151,34.709999,0,0.893,0.107,0.8608,0
152,33.360001,0.049,0.915,0.037,-0.4019,1
153,34.139999,0.059,0.814,0.127,0.6908,0
154,34.459999,0.025,0.885,0.09,0.9341,0
155,33.419998,0,0.964,0.036,0.3612,0
156,33.16,0.212,0.788,0,-0.7783,0
157,31.540001,0,0.926,0.074,0.1779,1
158,32.349998,0.033,0.804,0.162,0.8555,1
159,34.900002,0.048,0.795,0.157,0.9289,0
160,31.91,0.022,0.856,0.122,0.9793,1
161,31.059999,0.063,0.744,0.192,0.9823,0
162,29.91,0.077,0.734,0.189,0.9529,0
163,29.280001,0.089,0.81,0.1,0.1691,0
164,28.290001,0.13,0.732,0.137,-0.0516,1
165,28.52,0.137,0.819,0.044,-0.9719,0
166,28.620001,0.06,0.909,0.031,-0.5346,1
167,28.879999,0.046,0.859,0.094,0.9482,0
168,28.799999,0.227,0.736,0.037,-0.6908,0
169,28.620001,0.063,0.829,0.108,0.824,0
170,28.24,0.062,0.773,0.165,0.9029,0
171,27.74,0.052,0.775,0.173,0.9535,1
172,28.190001,0.108,0.828,0.065,-0.6705,1
173,27.02,0.055,0.826,0.119,0.8557,1
174,27.75,0.179,0.774,0.047,-0.9427,1
175,27.34,0.162,0.812,0.025,-0.8442,1
176,28.4,0.064,0.802,0.134,0.8392,1
177,29.43,0.045,0.903,0.051,-0.0772,0
178,28.719999,0.079,0.722,0.199,0.5106,0
179,27.299999,0,1,0,0,1
180,29.379999,0.092,0.832,0.077,-0.2023,0
181,29.33,0.077,0.892,0.03,-0.3818,0
182,29.33,0,1,0,0,0
183,28.48,0.075,0.793,0.132,0.7783,0
184,28.23,0.129,0.805,0.066,-0.7003,0
185,28.83,0.074,0.875,0.051,-0.25,1
186,29,0.07,0.775,0.156,0.8979,0
187,29.129999,0,1,0,0,1
188,28.940001,0.022,0.856,0.121,0.8271,0
189,28.719999,0.115,0.832,0.053,-0.7783,1
190,28.870001,0,0.655,0.345,0.7003,0
191,28.57,0.106,0.817,0.076,-0.0258,1
192,30.01,0,0.802,0.198,0.7506,0
193,30.190001,0.053,0.92,0.027,-0.6632,1
194,30.450001,0.028,0.842,0.13,0.932,1
195,30.049999,0.091,0.72,0.189,0.9517,0
196,29.799999,0.037,0.886,0.077,0.4588,0
197,28.74,0.034,0.894,0.071,0.6908,0
198,28.5,0.024,0.913,0.062,0.6597,1
199,29.93,0.04,0.894,0.066,0.802,0
200,29,0.075,0.816,0.11,0.8338,1
201,29.690001,0,0.853,0.147,0.6705,0
202,29.280001,0.062,0.853,0.085,0.755,0
203,29.4,0.078,0.871,0.051,-0.3313,1
204,30,0.084,0.873,0.043,-0.6289,0
205,29.98,0.067,0.903,0.03,-0.5106,1
206,30.469999,0.166,0.811,0.023,-0.9783,0
207,29.299999,0.013,0.859,0.127,0.9505,0
208,28.809999,0.099,0.901,0,-0.5423,0
209,28.26,0.064,0.866,0.07,0.3818,0
210,28.559999,0.054,0.946,0,-0.4767,0
211,28.209999,0.007,0.882,0.111,0.9326,1
212,28.24,0,0.868,0.132,0.8576,0
213,27.91,0.058,0.889,0.052,0.0757,0
214,27.719999,0,0.965,0.035,0.4404,1
215,27.360001,0.048,0.889,0.064,0.4404,1
216,27.4,0,0.908,0.092,0.8836,1
217,29.02,0,0.659,0.341,0.9712,0
218,29.040001,0.182,0.702,0.116,0.0258,0
219,28.549999,0.036,0.819,0.145,0.9201,1
220,28.9,0.089,0.806,0.105,0.2023,0
221,27.92,0.073,0.787,0.14,0.3182,0
222,28.030001,0.064,0.777,0.158,0.5423,0
223,27.68,0.081,0.874,0.045,-0.7906,0
224,27.73,0.049,0.951,0,-0.4215,0
225,26.9,0,1,0,0,0
226,25.969999,0,0.908,0.092,0.8181,1
227,25.93,0.055,0.915,0.03,-0.1253,0
228,25.790001,0.048,0.952,0,-0.2263,0
229,25.16,0,1,0,0,1
230,25.48,0.08,0.905,0.015,-0.9574,0
231,26.129999,0.027,0.865,0.108,0.7452,1
232,27.58,0.046,0.911,0.043,-0.1422,0
233,25.66,0.332,0.554,0.114,-0.8902,0
234,25.860001,0.059,0.803,0.138,0.8573,1
235,26.09,0.01,0.933,0.057,0.8176,0
236,26.059999,0.036,0.899,0.065,0.4833,0
237,25.85,0,0.901,0.099,0.34,0
238,26.9,0.033,0.922,0.045,0.5719,1
239,27.780001,0,0.943,0.057,0.2023,1
240,28.07,0.276,0.647,0.077,-0.8074,0
241,27.98,0.063,0.863,0.074,0.0516,0
242,27.540001,0.069,0.748,0.183,0.6249,0
243,27.610001,0,0.831,0.169,0.743,1
244,27.67,0.051,0.844,0.105,0.6643,0
245,26.74,0.089,0.798,0.113,0.6258,0
246,26.209999,0,0.941,0.059,0.4019,0
247,26.200001,0.107,0.834,0.059,-0.5719,0
248,26.1,0.062,0.906,0.031,-0.6486,1
249,27.139999,0,1,0,0,1
250,26.92,0,1,0,0,0
251,25.73,0,0.922,0.078,0.4215,0
252,24.799999,0.201,0.665,0.135,-0.8452,1
253,26.219999,0,0.949,0.051,0.25,0
254,25.66,0.083,0.848,0.069,-0.2263,0
255,25.58,0,0.83,0.17,0.8331,1
256,25.82,0.034,0.966,0,-0.4019,1
257,25.77,0,1,0,0,1
258,26.18,0.091,0.828,0.082,0.0258,1
259,25.629999,0.1,0.819,0.08,-0.507,0
260,23.77,0.052,0.905,0.043,0.0644,0
261,22.940001,0,1,0,0,1
262,23.57,0,1,0,0,1
263,24.299999,0.152,0.775,0.072,-0.4588,0
264,23.040001,0.037,0.963,0,-0.2732,0
265,21.059999,0.109,0.724,0.167,0.8074,1
266,21.639999,0.088,0.822,0.09,-0.1613,1
267,23.129999,0,0.894,0.106,0.8688,0
268,22.530001,0.384,0.616,0,-0.8934,0
269,23.129999,0.111,0.784,0.105,0.34,1
270,23.33,0,0.717,0.283,0.8271,0
271,21.32,0.089,0.773,0.138,0.743,1
272,21.85,0.101,0.843,0.056,-0.5423,0
273,20.889999,0.245,0.669,0.086,-0.6124,0
274,20.559999,0.034,0.933,0.034,0,0
275,19.74,0.096,0.87,0.034,-0.5859,0
276,19.629999,0.048,0.929,0.022,-0.128,0
277,18.120001,0.108,0.765,0.127,0.4648,0
278,19.889999,0,1,0,0,1
279,20.860001,0.288,0.712,0,-0.5622,0
280,18.65,0,0.828,0.172,0.6369,1
281,19.4,0.015,0.786,0.199,0.9413,0
282,20.110001,0,0.726,0.274,0.8797,0
283,19.34,0.078,0.851,0.071,-0.1531,0
284,19.209999,0.219,0.729,0.052,-0.9231,1
285,19.860001,0,0.866,0.134,0.9179,0
286,19.15,0.058,0.854,0.088,0.4854,0
287,19.309999,0.043,0.923,0.034,-0.0772,1
288,19.530001,0,0.664,0.336,0.8225,1
