,neg,neu,pos,compound,Open,High,Low,Close,Volume,label
2758,0.157,0.806,0.037,-0.9926,17547.36914,17750.01953,17547.36914,17720.98047,69860000,0
2759,0.167,0.754,0.079,-0.9862,17711.93945,17714.13086,17588.86914,17603.86914,59760000,0
2760,0.126,0.774,0.1,-0.9387,17590.66016,17590.66016,17421.16016,17425.0293,93690000,0
2764,0.2,0.771,0.029,-0.9974,17405.48047,17405.48047,16957.63086,17148.93945,148060000,1
2765,0.196,0.736,0.068,-0.9972,17147.5,17195.83984,17038.60938,17158.66016,105750000,0
2766,0.194,0.768,0.038,-0.9954,17154.83008,17154.83008,16817.61914,16906.50977,120250000,0
2767,0.139,0.788,0.073,-0.9881,16888.35938,16888.35938,16463.63086,16514.09961,176240000,0
2768,0.129,0.827,0.044,-0.9907,16519.16992,16651.89063,16314.57031,16346.4502,141850000,1
2771,0.118,0.841,0.042,-0.9795,16358.70996,16461.84961,16232.03027,16398.57031,127790000,1
2772,0.164,0.755,0.082,-0.9731,16419.10938,16591.34961,16322.07031,16516.2207,117480000,0
2773,0.145,0.743,0.112,-0.9618,16526.63086,16593.50977,16123.2002,16151.41016,153530000,1
2774,0.193,0.748,0.059,-0.9949,16159.00977,16482.05078,16075.12012,16379.04981,158830000,0
2775,0.176,0.778,0.046,-0.9914,16354.33008,16354.33008,15842.11035,15988.08008,239210000,1
2779,0.177,0.743,0.08,-0.9924,16009.4502,16171.95996,15900.25,16016.01953,144360000,0
2780,0.12,0.82,0.061,-0.9745,15989.4502,15989.4502,15450.55957,15766.74023,191870000,1
2781,0.071,0.889,0.04,-0.963,15768.87012,16038.58984,15704.66016,15882.67969,145140000,1
2782,0.219,0.735,0.046,-0.9971,15921.09961,16136.79004,15921.09961,16093.50977,145850000,0
2785,0.173,0.778,0.049,-0.9951,16086.45996,16086.45996,15880.15039,15885.21973,123250000,1
2786,0.207,0.723,0.07,-0.996,15893.16016,16185.79004,15893.16016,16167.23047,118210000,0
2787,0.22,0.714,0.066,-0.998,16168.74023,16235.03027,15878.29981,15944.45996,138350000,1
2788,0.146,0.747,0.107,-0.9545,15960.28027,16102.13965,15863.71973,16069.63965,130120000,1
2789,0.228,0.641,0.131,-0.9918,16090.25977,16466.30078,16090.25977,16466.30078,217940000,0
2792,0.108,0.806,0.086,-0.9124,16453.63086,16510.98047,16299.46973,16449.17969,114450000,0
