,neg,neu,pos,compound,Open,label
744,0.146,0.766,0.089,-0.9777,10297.08008,0
745,0.147,0.746,0.107,-0.9549,10153.48047,0
748,0.137,0.798,0.064,-0.9898,10143.04981,0
749,0.155,0.783,0.063,-0.9909,10135.71973,0
750,0.206,0.732,0.062,-0.9971,9868.339844,0
751,0.127,0.783,0.09,-0.9575,9773.269531,0
752,0.216,0.71,0.074,-0.9981,9732.530273,0
756,0.133,0.8,0.067,-0.9794,9686.480469,1
757,0.175,0.759,0.066,-0.9948,9743.620117,1
758,0.185,0.766,0.049,-0.9959,10019.25977,1
759,0.106,0.792,0.102,0.1518,10138.99023,1
762,0.221,0.731,0.048,-0.9981,10199.24023,1
763,0.162,0.785,0.053,-0.9956,10217.54981,1
764,0.144,0.787,0.069,-0.9902,10370.95996,0
765,0.108,0.835,0.057,-0.9797,10367.09961,0
766,0.193,0.728,0.079,-0.9975,10356.2002,0
769,0.088,0.83,0.082,-0.8975,10098.12012,1
770,0.066,0.832,0.103,0.9423,10151.48047,1
771,0.235,0.729,0.036,-0.9988,10226.01953,0
772,0.141,0.768,0.092,-0.9771,10121.80957,1
773,0.193,0.716,0.09,-0.9953,10321.16016,1
776,0.163,0.763,0.075,-0.9949,10424.16992,1
777,0.208,0.679,0.113,-0.9963,10525.28027,1
778,0.232,0.705,0.063,-0.9983,10537.00977,0
779,0.127,0.828,0.045,-0.9848,10498.94043,0
780,0.169,0.81,0.022,-0.997,10465.19043,1
783,0.187,0.735,0.077,-0.9966,10468.82031,1
784,0.165,0.735,0.1,-0.9882,10673.91992,0
785,0.198,0.766,0.036,-0.9959,10630.2002,1
786,0.119,0.815,0.066,-0.9721,10679.66992,0
787,0.219,0.676,0.106,-0.9955,10668.54981,0
790,0.137,0.782,0.081,-0.9843,10654.62012,1
791,0.165,0.782,0.052,-0.9969,10696.62988,0
792,0.147,0.747,0.106,-0.9565,10631.82031,0
793,0.153,0.773,0.074,-0.989,10361.58008,0
794,0.158,0.791,0.051,-0.995,10320.33008,0
797,0.197,0.742,0.061,-0.9969,10303.07031,0
798,0.142,0.765,0.093,-0.9765,10297.62988,1
799,0.126,0.772,0.102,-0.9297,10398.58984,1
800,0.096,0.854,0.05,-0.9507,10411.15039,0
801,0.147,0.815,0.038,-0.9935,10270.98047,0
804,0.127,0.789,0.084,-0.9652,10215.50977,0
805,0.126,0.853,0.021,-0.9953,10173.04981,0
806,0.202,0.735,0.062,-0.9969,10040.15039,1
807,0.166,0.751,0.082,-0.9789,10059.90039,0
808,0.1,0.821,0.08,-0.8972,9982.179688,1
811,0.138,0.81,0.051,-0.9896,10145.58008,0
812,0.144,0.811,0.046,-0.9934,10006.41992,1
813,0.154,0.788,0.057,-0.9938,10016.00977,1
814,0.19,0.766,0.043,-0.9979,10270.08008,1
815,0.171,0.791,0.038,-0.9959,10321.91992,1
819,0.136,0.77,0.094,-0.9692,10446.79981,0
820,0.109,0.819,0.072,-0.9343,10338.49023,1
821,0.152,0.787,0.061,-0.9863,10388.13965,1
822,0.231,0.723,0.046,-0.9988,10415.00977,1
825,0.131,0.846,0.023,-0.9935,10458.59961,1
826,0.18,0.748,0.072,-0.994,10544.73047,0
827,0.141,0.803,0.056,-0.9852,10526.41992,1
828,0.133,0.782,0.085,-0.9827,10571.75,1
829,0.153,0.746,0.101,-0.9877,10595.54981,1
832,0.218,0.684,0.097,-0.9983,10608.08008,1
833,0.113,0.78,0.107,-0.8118,10753.38965,1
834,0.169,0.767,0.065,-0.9917,10761.11035,0
835,0.156,0.782,0.062,-0.9936,10738.48047,0
836,0.149,0.806,0.045,-0.9968,10664.38965,1
839,0.131,0.816,0.053,-0.9908,10860.03027,0
840,0.196,0.761,0.044,-0.9973,10809.16992,1
841,0.181,0.773,0.046,-0.9929,10857.98047,0
842,0.15,0.783,0.067,-0.9889,10836.04004,0
843,0.214,0.736,0.05,-0.9978,10789.71973,1
846,0.213,0.721,0.066,-0.998,10828.84961,0
847,0.113,0.804,0.083,-0.9531,10752.78027,1
848,0.086,0.839,0.075,-0.8487,10936.79004,1
849,0.13,0.768,0.102,-0.9557,10968.41016,0
850,0.183,0.737,0.08,-0.9939,10948.5,1
853,0.143,0.773,0.083,-0.9932,11006.92969,1
854,0.152,0.779,0.069,-0.9929,11010.79004,1
855,0.17,0.744,0.086,-0.9899,11022.82031,1
856,0.1,0.754,0.146,0.964,11096.99023,0
857,0.141,0.788,0.071,-0.9904,11096.00977,0
860,0.177,0.776,0.047,-0.9964,11062.62988,1
861,0.132,0.753,0.115,-0.7385,11139.59961,0
862,0.139,0.837,0.024,-0.9948,10974.51953,1
863,0.154,0.78,0.066,-0.9915,11105.24023,1
864,0.241,0.681,0.077,-0.9981,11146.41016,0
867,0.163,0.789,0.048,-0.9942,11133.40039,1
868,0.177,0.731,0.092,-0.9933,11163.13965,1
869,0.134,0.802,0.065,-0.9776,11168.40039,0
870,0.228,0.714,0.058,-0.9976,11127.33984,0
871,0.166,0.791,0.043,-0.9961,11120.4502,0
874,0.139,0.782,0.08,-0.9696,11120.29981,1
875,0.131,0.795,0.074,-0.9818,11125.21973,1
876,0.13,0.829,0.041,-0.9944,11184.87988,1
877,0.153,0.823,0.024,-0.9957,11216.65039,1
878,0.146,0.781,0.073,-0.9948,11435.21973,1
881,0.151,0.79,0.059,-0.9943,11439.54004,0
882,0.177,0.735,0.088,-0.9954,11403.58984,0
883,0.173,0.734,0.093,-0.9941,11342.80957,1
884,0.134,0.774,0.093,-0.9829,11326.69043,0
885,0.111,0.83,0.06,-0.9786,11281.28027,0
888,0.189,0.735,0.077,-0.996,11194.01953,1
889,0.158,0.767,0.074,-0.992,11194.7002,0
890,0.084,0.879,0.037,-0.9631,11017.83008,0
891,0.207,0.751,0.041,-0.9976,11010.49023,1
892,0.155,0.738,0.107,-0.9847,11180.76953,1
895,0.147,0.775,0.078,-0.9806,11201.66016,0
896,0.131,0.803,0.067,-0.9861,11177.59961,0
897,0.126,0.798,0.076,-0.9715,11037.34961,1
899,0.133,0.744,0.123,-0.6866,11183.5,0
902,0.227,0.731,0.041,-0.9984,11083.75,0
903,0.139,0.821,0.04,-0.9943,11049.71973,0
904,0.17,0.758,0.072,-0.9915,11007.23047,1
905,0.108,0.843,0.049,-0.9666,11255.92969,1
906,0.157,0.796,0.046,-0.9961,11361.87988,1
909,0.155,0.773,0.071,-0.9955,11381.33008,0
910,0.138,0.77,0.092,-0.9811,11363.84961,0
911,0.139,0.798,0.063,-0.989,11354.4502,1
