,neg,neu,pos,compound,Open,label
1280,0.154,0.779,0.066,-0.9942,12181.08008,0
1281,0.13,0.818,0.052,-0.9871,12018.66016,0
1282,0.159,0.811,0.031,-0.9969,11949.71973,0
1283,0.178,0.765,0.056,-0.997,11825.29004,1
1284,0.212,0.736,0.052,-0.9965,11870.25,0
1287,0.158,0.803,0.039,-0.9874,11866.54004,0
1288,0.109,0.837,0.055,-0.9811,11769.20996,1
1289,0.169,0.761,0.071,-0.9917,12103.58008,1
1290,0.197,0.71,0.093,-0.9973,12107.58984,1
1291,0.188,0.769,0.043,-0.9979,12169.87988,1
1295,0.164,0.782,0.054,-0.9924,12293.46973,0
1296,0.217,0.726,0.057,-0.9975,12288.84961,0
1297,0.126,0.778,0.096,-0.9588,12152.32031,1
1298,0.148,0.796,0.055,-0.9862,12286.28027,0
1302,0.142,0.796,0.062,-0.9942,12221.19043,1
1303,0.133,0.807,0.06,-0.9895,12392.45996,1
1304,0.144,0.803,0.053,-0.9952,12418.41992,0
1305,0.239,0.713,0.048,-0.9969,12407.4502,0
1308,0.122,0.806,0.072,-0.9835,12359.30957,1
1309,0.133,0.8,0.067,-0.9849,12394.50977,1
1310,0.261,0.698,0.04,-0.9987,12459.51953,0
1311,0.123,0.846,0.031,-0.9854,12449.91016,1
1312,0.18,0.765,0.055,-0.9954,12469.95996,0
1316,0.105,0.835,0.06,-0.9845,12423.12012,1
1317,0.134,0.801,0.065,-0.9848,12474.69043,1
1318,0.121,0.832,0.047,-0.9807,12578.19043,1
1319,0.165,0.788,0.047,-0.9928,12623.83008,1
1322,0.195,0.738,0.066,-0.9974,12720.25,0
1323,0.194,0.765,0.041,-0.9973,12708.37012,0
1324,0.166,0.751,0.083,-0.9919,12673.62988,1
1325,0.193,0.764,0.042,-0.9977,12756.95996,0
1326,0.225,0.734,0.041,-0.9977,12733.9502,0
1329,0.161,0.775,0.064,-0.9833,12659.16992,0
1330,0.146,0.785,0.069,-0.9828,12654.78027,0
1331,0.175,0.736,0.089,-0.991,12632.75977,1
1332,0.139,0.777,0.084,-0.9768,12716.54004,0
1333,0.188,0.725,0.087,-0.994,12705.04004,1
1336,0.147,0.831,0.022,-0.9964,12860.71973,0
1337,0.171,0.756,0.074,-0.9931,12844.37012,1
1338,0.09,0.831,0.079,-0.6058,12865.79004,1
1339,0.183,0.77,0.047,-0.997,12884.41016,1
1340,0.142,0.8,0.058,-0.989,12889.54981,0
1343,0.178,0.783,0.039,-0.9962,12799.11035,1
1344,0.122,0.815,0.063,-0.9827,12871.76953,1
1345,0.214,0.742,0.044,-0.9966,12864.65039,0
1346,0.171,0.743,0.086,-0.9933,12779.80957,1
1347,0.183,0.793,0.024,-0.9973,12903.33008,1
1351,0.192,0.761,0.048,-0.9973,12949.33984,1
1352,0.204,0.713,0.083,-0.9928,12966.21973,0
1353,0.182,0.758,0.059,-0.9941,12937.08008,1
1354,0.199,0.734,0.067,-0.9969,12981.2002,1
1357,0.168,0.767,0.064,-0.9946,12981.12988,1
1358,0.152,0.787,0.061,-0.9852,12976.74023,1
1359,0.16,0.757,0.083,-0.9928,13005.41992,0
1360,0.14,0.808,0.052,-0.9926,12952.29004,1
1361,0.141,0.782,0.077,-0.9894,12980.75,0
1364,0.133,0.775,0.092,-0.9676,12977.33984,0
1365,0.144,0.795,0.061,-0.9849,12958.65039,0
1366,0.178,0.766,0.057,-0.9945,12756.12012,1
1367,0.153,0.793,0.054,-0.9923,12835.53027,1
1368,0.159,0.75,0.091,-0.9766,12908.62012,1
1371,0.155,0.771,0.074,-0.9906,12920.58008,1
1372,0.158,0.787,0.054,-0.9933,12953.2002,1
1373,0.149,0.776,0.075,-0.9879,13177.15039,1
1374,0.114,0.809,0.078,-0.9659,13192.96973,1
1375,0.143,0.797,0.06,-0.9964,13253.50977,0
1378,0.147,0.774,0.079,-0.9888,13231.94043,1
1379,0.083,0.86,0.058,-0.8422,13238.4502,0
1380,0.133,0.805,0.062,-0.9805,13170.79004,0
1381,0.25,0.717,0.033,-0.9991,13124.40039,0
1382,0.108,0.771,0.12,0.8505,13045.99023,1
1385,0.087,0.827,0.086,-0.4939,13082.62012,1
1386,0.155,0.776,0.069,-0.994,13242.08984,0
1387,0.096,0.841,0.064,-0.9431,13195.38965,0
1388,0.202,0.737,0.061,-0.9959,13125.99023,1
1389,0.178,0.773,0.049,-0.9972,13147.94043,1
1392,0.132,0.788,0.081,-0.9684,13211.36035,1
1393,0.124,0.809,0.066,-0.9783,13258.95996,0
1394,0.115,0.843,0.041,-0.9718,13198.19043,0
1395,0.099,0.868,0.033,-0.9736,13067.17969,0
1399,0.133,0.818,0.049,-0.99,13057.57031,0
1400,0.122,0.784,0.094,-0.9029,12929.44043,0
1401,0.143,0.778,0.079,-0.9858,12716.91992,1
1402,0.153,0.744,0.103,-0.9876,12806.4502,1
1403,0.129,0.823,0.048,-0.9787,12986.2002,0
1406,0.163,0.761,0.076,-0.996,12850.87988,1
1407,0.131,0.837,0.032,-0.9945,12921.79004,1
1408,0.167,0.769,0.065,-0.9879,13114.55957,0
1409,0.148,0.769,0.083,-0.9876,13028.73047,0
1410,0.129,0.782,0.089,-0.9695,12964.48047,1
1413,0.128,0.818,0.055,-0.9884,13028.2002,0
1414,0.16,0.758,0.083,-0.9918,12927.76953,1
1415,0.151,0.784,0.065,-0.983,12997.69043,1
1416,0.143,0.778,0.08,-0.9917,13090.11035,1
1417,0.186,0.757,0.057,-0.996,13204.7002,1
1420,0.121,0.847,0.032,-0.9862,13228.30957,0
1421,0.122,0.838,0.04,-0.9922,13214.16016,1
1422,0.15,0.755,0.095,-0.9732,13278.11035,0
1423,0.149,0.799,0.052,-0.9944,13267.58984,0
1424,0.154,0.786,0.061,-0.9924,13204.62012,0
1427,0.129,0.771,0.1,-0.9062,13035.84961,0
1428,0.193,0.73,0.077,-0.9942,13000.73047,0
1429,0.111,0.804,0.085,-0.922,12921.80957,0
1430,0.202,0.756,0.042,-0.9988,12831.58008,1
1431,0.117,0.761,0.123,0.7543,12851.79004,0
1434,0.153,0.768,0.079,-0.9927,12818.49023,0
1435,0.15,0.816,0.033,-0.995,12695.04981,0
1436,0.177,0.768,0.055,-0.997,12617.32031,0
1437,0.184,0.772,0.045,-0.9974,12598.32031,0
1438,0.145,0.789,0.066,-0.9913,12443.01953,0
1441,0.173,0.792,0.036,-0.9973,12369.15039,1
1442,0.148,0.823,0.029,-0.9943,12505.37988,0
1443,0.186,0.756,0.058,-0.9973,12501.51953,0
1444,0.237,0.679,0.084,-0.9982,12491.91016,1
1445,0.172,0.756,0.071,-0.9884,12530.74023,0
1449,0.172,0.792,0.036,-0.9959,12454.83008,1
1450,0.172,0.74,0.087,-0.9882,12579.01953,0
1451,0.252,0.683,0.065,-0.9976,12414.41016,0
1452,0.229,0.726,0.045,-0.9984,12391.55957,0
1455,0.165,0.771,0.064,-0.9931,12119.84961,0
1456,0.162,0.753,0.085,-0.9887,12101.08008,1
1457,0.17,0.772,0.058,-0.9958,12125,1
1458,0.141,0.827,0.032,-0.9937,12416.53027,1
1459,0.144,0.82,0.036,-0.9897,12460.80957,1
1462,0.162,0.752,0.086,-0.9911,12553.80957,0
1463,0.146,0.809,0.045,-0.9846,12412.07031,1
1464,0.123,0.811,0.066,-0.9825,12566.37988,0
1465,0.107,0.812,0.08,-0.8591,12497.88965,1
1466,0.092,0.859,0.05,-0.9668,12652.20996,1
1469,0.117,0.826,0.057,-0.981,12767.01953,0
1470,0.151,0.788,0.062,-0.9908,12744.62012,1
1471,0.147,0.775,0.078,-0.9896,12837.09961,0
1472,0.153,0.785,0.063,-0.9913,12823.09961,0
1473,0.173,0.754,0.072,-0.9944,12574.82031,1
1476,0.107,0.813,0.08,-0.959,12639.79981,0
1477,0.248,0.705,0.047,-0.9992,12503.57031,1
1478,0.191,0.737,0.072,-0.9977,12532.92969,1
1479,0.16,0.799,0.041,-0.9949,12626.25,0
1480,0.124,0.848,0.029,-0.9935,12604.59961,1
1483,0.124,0.785,0.091,-0.9566,12879.70996,0
1484,0.189,0.771,0.04,-0.9965,12868.05957,1
1486,0.157,0.752,0.09,-0.9899,12941.84961,0
1487,0.155,0.791,0.054,-0.9941,12889.40039,0
1490,0.148,0.78,0.072,-0.9921,12772.01953,0
1491,0.202,0.715,0.083,-0.9959,12733.87012,0
1492,0.196,0.721,0.083,-0.9947,12653.04004,0
1493,0.164,0.771,0.064,-0.9929,12602.70996,0
1494,0.198,0.735,0.067,-0.9956,12573.73047,1
1497,0.15,0.8,0.05,-0.9935,12776.33008,0
1498,0.187,0.779,0.034,-0.997,12728.73047,1
1499,0.155,0.777,0.068,-0.9901,12796.98047,1
1500,0.13,0.786,0.085,-0.9809,12909.61035,1
1501,0.144,0.805,0.051,-0.9914,12942.67969,0
1504,0.144,0.8,0.055,-0.989,12820.4502,0
1505,0.191,0.769,0.04,-0.9986,12720.92969,0
1506,0.101,0.828,0.071,-0.9482,12617.76953,1
1507,0.247,0.718,0.035,-0.9991,12680.58984,1
1508,0.141,0.782,0.076,-0.9869,12888.91016,1
1511,0.194,0.748,0.058,-0.9976,13075.34961,0
1512,0.107,0.841,0.051,-0.967,13071.71973,0
1513,0.146,0.801,0.054,-0.9934,13007.46973,0
1514,0.108,0.836,0.056,-0.9702,12969.7002,0
1515,0.156,0.757,0.087,-0.988,12884.82031,1
1518,0.184,0.774,0.042,-0.9977,13099.87988,1
1519,0.186,0.732,0.083,-0.9899,13118.65039,1
1520,0.194,0.758,0.049,-0.9968,13158.09961,1
1521,0.164,0.782,0.055,-0.9964,13174.73047,0
1522,0.171,0.771,0.059,-0.997,13163.15039,1
1525,0.146,0.786,0.068,-0.9865,13204.92969,0
1526,0.163,0.798,0.039,-0.9945,13168.11035,1
1527,0.141,0.794,0.065,-0.985,13157.46973,1
1528,0.181,0.774,0.045,-0.9938,13163.24023,1
1529,0.223,0.733,0.044,-0.9975,13251.2002,1
1532,0.183,0.771,0.046,-0.9969,13274.58008,0
1533,0.181,0.772,0.047,-0.9969,13272.09961,0
1534,0.127,0.846,0.027,-0.9943,13198.30957,0
1535,0.105,0.833,0.061,-0.9801,13171.37012,0
1536,0.193,0.767,0.04,-0.9975,13052.82031,1
1539,0.173,0.792,0.036,-0.9964,13157.74023,0
1540,0.179,0.779,0.042,-0.9962,13122.74023,0
1541,0.12,0.819,0.06,-0.9857,13103.45996,1
1542,0.247,0.727,0.026,-0.9991,13101.29004,0
1543,0.137,0.804,0.059,-0.9912,13002.71973,1
1547,0.114,0.832,0.055,-0.9743,13092.15039,0
1548,0.147,0.824,0.029,-0.9946,13036.08984,1
1549,0.201,0.768,0.031,-0.9982,13045.23047,1
1550,0.162,0.779,0.059,-0.9888,13289.53027,1
1553,0.16,0.761,0.078,-0.9931,13308.55957,0
1554,0.135,0.797,0.068,-0.9801,13254.59961,1
1555,0.21,0.754,0.036,-0.9975,13321.62012,1
1556,0.129,0.821,0.05,-0.9727,13329.70996,1
1557,0.16,0.8,0.039,-0.9895,13540.40039,1
1560,0.207,0.761,0.033,-0.9968,13588.57031,0
1561,0.132,0.775,0.093,-0.9217,13552.33008,1
1562,0.163,0.772,0.065,-0.9893,13565.41016,1
1563,0.167,0.804,0.029,-0.9967,13575.16992,1
1564,0.213,0.715,0.073,-0.9964,13597.24023,0
1567,0.201,0.72,0.079,-0.996,13577.84961,0
1568,0.123,0.799,0.078,-0.9668,13559.91992,0
1569,0.163,0.769,0.067,-0.991,13458.62988,0
1570,0.126,0.796,0.078,-0.9751,13413.46973,1
1571,0.107,0.818,0.075,-0.9319,13485.88965,0
1574,0.177,0.753,0.07,-0.9958,13437.66016,1
1575,0.147,0.8,0.053,-0.9949,13515.29981,0
1576,0.22,0.732,0.047,-0.9975,13479.20996,1
1577,0.119,0.812,0.069,-0.9648,13495.17969,1
1578,0.174,0.743,0.083,-0.9942,13569.17969,1
1581,0.135,0.764,0.1,-0.9551,13589.25977,0
1582,0.137,0.793,0.07,-0.9907,13582.87988,0
1583,0.214,0.734,0.052,-0.9978,13473.53027,0
1584,0.192,0.779,0.029,-0.9975,13346.28027,0
1585,0.149,0.748,0.104,-0.9857,13325.62012,1
1588,0.154,0.785,0.061,-0.9936,13329.54004,1
1589,0.153,0.811,0.037,-0.9968,13423.83984,1
1590,0.135,0.799,0.065,-0.9892,13539.62988,1
1591,0.142,0.81,0.048,-0.9935,13553.24023,0
1592,0.181,0.749,0.07,-0.9927,13545.33008,0
1595,0.157,0.793,0.05,-0.9958,13344.28027,1
1596,0.191,0.751,0.058,-0.9932,13344.90039,0
1597,0.188,0.765,0.047,-0.9957,13103.53027,0
1598,0.227,0.737,0.036,-0.9983,13079.63965,1
1599,0.183,0.723,0.094,-0.9951,13104.21973,1
1604,0.137,0.788,0.075,-0.9855,13107.44043,0
1605,0.188,0.768,0.044,-0.9969,13099.19043,1
1606,0.171,0.756,0.073,-0.9932,13232.62012,0
1609,0.114,0.834,0.052,-0.9817,13092.28027,1
1610,0.097,0.847,0.056,-0.9706,13112.90039,1
1611,0.092,0.823,0.085,-0.8658,13228.24023,0
1612,0.12,0.842,0.038,-0.9884,12932.80957,0
1613,0.202,0.737,0.061,-0.9978,12811.16992,1
1616,0.177,0.767,0.056,-0.9971,12815.92969,0
1617,0.16,0.759,0.081,-0.9921,12808.70996,0
1618,0.189,0.775,0.036,-0.9971,12746.54004,0
1619,0.244,0.681,0.075,-0.9976,12571.09961,0
1620,0.153,0.777,0.07,-0.9949,12542.30957,1
1623,0.165,0.787,0.048,-0.9972,12590.23047,1
1624,0.236,0.685,0.079,-0.9973,12790.88965,0
1625,0.141,0.824,0.035,-0.995,12788.36035,1
1627,0.165,0.808,0.027,-0.9962,12833.12988,1
1630,0.192,0.73,0.078,-0.9971,13008.4502,0
1631,0.126,0.805,0.069,-0.9877,12963.37988,0
1632,0.184,0.758,0.058,-0.9963,12875.55957,1
1633,0.157,0.774,0.069,-0.9943,12977.34961,1
1634,0.121,0.828,0.052,-0.9895,13022.04981,1
1637,0.199,0.748,0.054,-0.996,13027.73047,0
1638,0.147,0.799,0.054,-0.9915,12966.4502,0
1639,0.218,0.732,0.05,-0.998,12948.95996,1
1640,0.17,0.782,0.048,-0.9933,13026.19043,1
1641,0.195,0.755,0.05,-0.995,13072.87012,1
1644,0.203,0.749,0.048,-0.9971,13154.88965,1
1645,0.182,0.766,0.052,-0.9953,13170.33984,1
1646,0.119,0.835,0.045,-0.9718,13250.04981,0
1647,0.214,0.731,0.055,-0.9978,13241.37988,0
1648,0.183,0.745,0.071,-0.9943,13170.79981,0
1651,0.194,0.743,0.063,-0.9961,13135.16992,1
1652,0.133,0.817,0.049,-0.9784,13236.61035,1
1653,0.203,0.756,0.041,-0.9979,13351.04004,0
1654,0.153,0.809,0.038,-0.9936,13246.66992,1
1655,0.124,0.802,0.075,-0.9823,13309.9502,0
1658,0.198,0.716,0.086,-0.9953,13190.15039,0
1660,0.149,0.774,0.078,-0.9943,13138.84961,0
1661,0.122,0.837,0.04,-0.9865,13114.96973,0
1662,0.219,0.729,0.053,-0.9978,13095.08008,0
1665,0.182,0.755,0.063,-0.9973,12938.19043,1
1667,0.174,0.785,0.04,-0.9965,13104.29981,1
1668,0.214,0.747,0.039,-0.9959,13413.00977,0
1669,0.218,0.729,0.053,-0.9977,13391.04981,1
1672,0.211,0.698,0.09,-0.994,13436.12988,0
1673,0.181,0.737,0.082,-0.9946,13377.41992,0
1674,0.152,0.794,0.054,-0.9931,13329.91992,1
1675,0.218,0.716,0.066,-0.9985,13391.82031,1
1676,0.16,0.77,0.07,-0.9953,13471.4502,1
1679,0.183,0.723,0.094,-0.994,13488.42969,1
1680,0.163,0.791,0.046,-0.9963,13507.32031,1
1681,0.145,0.758,0.097,-0.9712,13534.88965,0
1682,0.187,0.756,0.057,-0.989,13511.23047,1
1683,0.108,0.828,0.065,-0.9376,13596.01953,1
1687,0.152,0.763,0.085,-0.9835,13649.7002,1
1688,0.162,0.777,0.061,-0.9922,13712.20996,1
1689,0.195,0.732,0.073,-0.9967,13779.33008,1
1690,0.145,0.782,0.073,-0.9911,13825.33008,1
1693,0.152,0.783,0.065,-0.9919,13895.98047,0
1694,0.136,0.787,0.077,-0.9766,13881.92969,1
1695,0.168,0.76,0.072,-0.994,13954.41992,0
1696,0.116,0.824,0.06,-0.9858,13910.41992,0
1697,0.189,0.755,0.056,-0.9963,13860.58008,1
1700,0.12,0.828,0.051,-0.9825,14009.79004,0
1701,0.19,0.743,0.067,-0.9966,13880.08008,1
1702,0.138,0.827,0.035,-0.9928,13979.29981,1
1703,0.12,0.781,0.099,-0.9243,13986.51953,0
1704,0.292,0.691,0.017,-0.9992,13944.04981,1
1707,0.1,0.816,0.084,-0.8481,13992.96973,0
1708,0.14,0.813,0.047,-0.9949,13971.24023,1
1709,0.126,0.804,0.07,-0.9789,14018.7002,0
1710,0.195,0.791,0.015,-0.9972,13982.91016,0
1711,0.147,0.83,0.023,-0.99,13973.38965,1
1715,0.132,0.762,0.106,-0.9081,13981.75977,1
1716,0.156,0.801,0.042,-0.9932,14035.66992,0
1717,0.161,0.801,0.038,-0.9972,13927.54004,0
1718,0.173,0.783,0.044,-0.9947,13880.62012,1
1721,0.166,0.723,0.11,-0.9879,14000.57031,0
1722,0.193,0.75,0.057,-0.9978,13784.16992,1
1723,0.171,0.768,0.06,-0.992,13900.12988,1
1724,0.185,0.793,0.021,-0.9965,14075.37012,0
1725,0.2,0.704,0.096,-0.995,14054.49023,1
1728,0.093,0.814,0.093,0.5053,14089.66016,1
1729,0.204,0.76,0.035,-0.9982,14127.82031,1
1730,0.171,0.764,0.065,-0.9933,14253.76953,1
1731,0.139,0.781,0.079,-0.9805,14296.24023,1
1732,0.123,0.793,0.085,-0.9537,14329.49023,1
1735,0.168,0.771,0.061,-0.9945,14397.07031,1
1736,0.202,0.716,0.082,-0.9969,14447.29004,1
1737,0.137,0.782,0.082,-0.986,14450.05957,1
1738,0.099,0.804,0.096,-0.2989,14455.28027,1
1739,0.145,0.779,0.076,-0.9908,14539.13965,0
1742,0.251,0.68,0.069,-0.9982,14514.11035,0
1743,0.153,0.793,0.054,-0.9949,14452.05957,1
1744,0.182,0.769,0.049,-0.9967,14455.82031,1
1745,0.133,0.812,0.055,-0.9937,14511.73047,0
1746,0.164,0.782,0.054,-0.995,14421.49023,1
1749,0.102,0.833,0.066,-0.9219,14512.03027,0
1750,0.161,0.78,0.059,-0.9944,14447.75,1
1751,0.115,0.81,0.076,-0.9681,14559.65039,0
1752,0.192,0.742,0.065,-0.9919,14526.16016,1
1756,0.162,0.782,0.056,-0.9947,14578.54004,0
1757,0.15,0.807,0.042,-0.9849,14572.84961,1
1758,0.188,0.766,0.046,-0.9978,14662.00977,0
1759,0.156,0.803,0.041,-0.9933,14550.34961,1
1760,0.158,0.775,0.067,-0.9917,14606.11035,0
1763,0.14,0.803,0.057,-0.9806,14565.25,1
1764,0.127,0.817,0.056,-0.9892,14613.48047,1
1765,0.154,0.756,0.09,-0.984,14673.45996,1
1766,0.138,0.792,0.069,-0.9818,14802.24023,1
1767,0.166,0.72,0.115,-0.9749,14865.13965,0
1770,0.126,0.793,0.081,-0.9732,14865.05957,0
1771,0.206,0.73,0.064,-0.9973,14599.2002,1
1772,0.156,0.785,0.059,-0.9912,14756.78027,0
1773,0.186,0.709,0.104,-0.9942,14618.58984,0
1774,0.164,0.709,0.127,-0.9687,14537.13965,1
1777,0.212,0.749,0.038,-0.997,14547.50977,1
1778,0.222,0.73,0.048,-0.9972,14567.16992,1
1779,0.128,0.818,0.054,-0.9903,14719.45996,0
1780,0.129,0.811,0.059,-0.9833,14676.29981,1
1781,0.197,0.73,0.073,-0.9968,14700.79981,1
1784,0.228,0.743,0.029,-0.9982,14712.54981,1
1785,0.125,0.814,0.062,-0.9371,14818.75,1
1786,0.173,0.773,0.054,-0.996,14839.79981,0
1787,0.182,0.784,0.034,-0.9972,14700.9502,1
1788,0.201,0.713,0.086,-0.9941,14831.58008,1
1791,0.187,0.729,0.084,-0.9959,14973.95996,0
1792,0.188,0.75,0.062,-0.9959,14968.88965,1
1793,0.162,0.766,0.072,-0.9888,15056.2002,1
1794,0.185,0.765,0.05,-0.9961,15105.12012,0
1795,0.177,0.712,0.111,-0.9808,15082.62012,1
1798,0.231,0.727,0.043,-0.9982,15113.41992,0
1799,0.12,0.814,0.066,-0.9711,15091.67969,1
1800,0.149,0.795,0.056,-0.993,15211.87012,1
1801,0.165,0.789,0.046,-0.9964,15273.91992,0
1802,0.22,0.729,0.051,-0.9981,15234.75,1
1805,0.091,0.866,0.044,-0.9687,15348.33008,0
1806,0.096,0.842,0.061,-0.9377,15334.96973,1
1807,0.201,0.722,0.077,-0.9957,15387.12012,0
1808,0.255,0.69,0.055,-0.999,15300.57031,0
1809,0.141,0.793,0.067,-0.9883,15290.74023,1
1813,0.191,0.784,0.025,-0.9981,15307.33008,1
1814,0.135,0.78,0.085,-0.9825,15399.94043,0
1815,0.188,0.757,0.054,-0.9973,15306.01953,1
1816,0.154,0.77,0.077,-0.9862,15322.21973,0
1819,0.205,0.751,0.044,-0.998,15123.54981,1
1820,0.135,0.781,0.083,-0.9661,15255.21973,0
1821,0.174,0.755,0.071,-0.9898,15168.09961,0
1822,0.148,0.776,0.076,-0.97,14955.4502,1
1823,0.139,0.78,0.082,-0.9705,15044.45996,1
1826,0.086,0.819,0.096,0.7469,15247.80957,0
1827,0.079,0.844,0.078,0.1346,15231.37988,0
1828,0.152,0.808,0.039,-0.9942,15130.38965,0
1829,0.089,0.839,0.072,-0.5586,14992.54004,1
1830,0.177,0.74,0.083,-0.9938,15178.08008,0
1833,0.143,0.787,0.07,-0.9909,15078.70996,1
1834,0.124,0.845,0.03,-0.9899,15186.29981,1
1835,0.165,0.772,0.062,-0.9963,15315.46973,0
1836,0.177,0.733,0.09,-0.9905,15105.50977,0
1837,0.126,0.823,0.051,-0.9801,14760.62012,1
1840,0.223,0.73,0.046,-0.9965,14795.79004,0
1841,0.109,0.802,0.089,-0.913,14669.69043,1
1842,0.116,0.805,0.079,-0.9623,14769.99023,1
1843,0.101,0.848,0.052,-0.9684,14921.28027,1
1844,0.142,0.772,0.086,-0.9818,15016.58008,0
1847,0.111,0.8,0.089,-0.891,14911.59961,1
1848,0.141,0.797,0.061,-0.9932,14974.95996,0
1849,0.126,0.82,0.054,-0.9799,14923.73047,1
1851,0.104,0.809,0.088,-0.7774,14995.45996,1
1854,0.164,0.772,0.064,-0.992,15137.21973,1
1855,0.117,0.799,0.085,-0.9666,15228.45996,1
1856,0.194,0.775,0.031,-0.9971,15298.03027,0
1857,0.143,0.802,0.055,-0.9861,15298,1
1858,0.107,0.782,0.111,0.7867,15460.69043,1
1861,0.122,0.774,0.103,-0.8633,15459.69043,1
1862,0.17,0.786,0.044,-0.9962,15485.03027,0
1863,0.223,0.722,0.055,-0.9981,15456.91992,1
1864,0.241,0.671,0.087,-0.9987,15465.91016,1
1865,0.162,0.796,0.042,-0.9958,15524.26953,1
1868,0.148,0.8,0.051,-0.9965,15543.96973,1
1869,0.157,0.776,0.066,-0.9917,15547,1
1870,0.202,0.756,0.041,-0.998,15576.69043,0
1871,0.171,0.765,0.064,-0.9961,15539.16992,1
1872,0.174,0.771,0.054,-0.9941,15547.84961,1
1875,0.156,0.775,0.069,-0.9952,15557.13965,0
1876,0.177,0.754,0.069,-0.9952,15534.49023,0
1877,0.135,0.764,0.101,-0.9716,15528.57031,0
1878,0.179,0.755,0.066,-0.9953,15503.84961,1
1879,0.097,0.827,0.076,-0.951,15627.55957,1
1882,0.145,0.804,0.05,-0.992,15651.98047,0
1883,0.129,0.802,0.069,-0.9901,15608.44043,0
1884,0.137,0.819,0.045,-0.9932,15516.20996,0
1885,0.099,0.844,0.057,-0.9685,15477.26953,1
1886,0.141,0.796,0.063,-0.9938,15496.62988,0
1889,0.176,0.763,0.06,-0.9961,15415.21973,1
1890,0.141,0.811,0.048,-0.9935,15420.67969,1
1891,0.172,0.769,0.059,-0.9952,15447.70996,0
1892,0.182,0.779,0.038,-0.9969,15332.70996,0
1893,0.104,0.829,0.067,-0.9604,15112.57031,0
1896,0.186,0.774,0.04,-0.9963,15076.79004,0
1897,0.156,0.805,0.039,-0.996,15011.82031,0
1898,0.205,0.745,0.051,-0.9959,14993.80957,0
1899,0.181,0.765,0.055,-0.9967,14908.59961,1
1900,0.173,0.783,0.044,-0.9975,14988.78027,1
1903,0.152,0.774,0.074,-0.9942,15014.58008,0
1904,0.171,0.774,0.055,-0.991,14939.25,0
1905,0.124,0.778,0.099,-0.9028,14770.99023,1
1906,0.137,0.809,0.054,-0.9948,14817.91016,1
1907,0.146,0.782,0.072,-0.9774,14844.09961,0
1911,0.132,0.777,0.09,-0.9533,14801.54981,1
1912,0.107,0.849,0.044,-0.9643,14832.41992,1
1913,0.165,0.762,0.073,-0.9912,14929.49023,1
1914,0.135,0.785,0.079,-0.9686,14941.54981,0
1917,0.165,0.771,0.065,-0.9908,14927.19043,1
1918,0.205,0.727,0.068,-0.9958,15067.23047,1
1919,0.137,0.781,0.082,-0.9859,15194.12988,1
1920,0.12,0.834,0.047,-0.9782,15327.13965,0
1921,0.204,0.741,0.055,-0.9977,15312.86035,1
1924,0.097,0.838,0.065,-0.9134,15381.36035,1
1925,0.169,0.786,0.045,-0.9952,15503.15039,1
1926,0.13,0.781,0.088,-0.9801,15533.03027,1
1927,0.181,0.766,0.053,-0.9967,15677.86035,0
1928,0.145,0.806,0.049,-0.9906,15635.08984,0
1931,0.226,0.724,0.05,-0.9979,15452.30957,0
1932,0.191,0.781,0.029,-0.9979,15402.54004,0
1933,0.129,0.805,0.066,-0.9871,15339.01953,0
1934,0.148,0.765,0.087,-0.9869,15274.41992,1
1935,0.1,0.832,0.068,-0.969,15317.4502,0
1938,0.146,0.822,0.032,-0.9932,15249.82031,0
1939,0.17,0.782,0.048,-0.9951,15132.49023,1
1940,0.168,0.791,0.041,-0.9958,15182.65039,0
1941,0.156,0.777,0.067,-0.9865,15127.23047,0
1942,0.179,0.749,0.072,-0.9951,14994.67969,1
1945,0.127,0.775,0.097,-0.9676,15069.29981,0
1946,0.086,0.815,0.099,0.5745,14938.04004,0
1947,0.133,0.818,0.049,-0.9916,14778.19043,1
1948,0.117,0.806,0.077,-0.8757,14806.38965,1
1949,0.145,0.77,0.085,-0.9911,15126.51953,1
1952,0.132,0.744,0.124,-0.4408,15231.33008,1
1953,0.093,0.814,0.093,0.2411,15300.29981,0
1954,0.155,0.801,0.044,-0.9941,15170.7002,1
1955,0.16,0.782,0.058,-0.9953,15369.45996,1
1956,0.221,0.733,0.046,-0.998,15371.70996,1
1959,0.103,0.843,0.054,-0.9874,15401.32031,0
1960,0.161,0.765,0.074,-0.9895,15394.21973,1
1961,0.13,0.827,0.043,-0.9929,15465.33984,0
1962,0.119,0.816,0.065,-0.9821,15414.87012,1
1963,0.127,0.797,0.076,-0.9772,15523.71973,1
1966,0.145,0.781,0.074,-0.9805,15569.19043,0
1967,0.177,0.772,0.051,-0.9951,15572.20996,1
1968,0.107,0.856,0.037,-0.9858,15680.74023,0
1969,0.145,0.778,0.077,-0.9954,15619.91992,0
1970,0.119,0.804,0.076,-0.9751,15558.00977,1
1973,0.203,0.747,0.05,-0.9972,15621.2002,1
1974,0.214,0.739,0.047,-0.9971,15631.21973,0
1975,0.144,0.823,0.033,-0.9946,15628.71973,1
1976,0.156,0.782,0.062,-0.9954,15751.30957,0
1977,0.107,0.816,0.077,-0.9192,15591.54004,1
1980,0.135,0.765,0.099,-0.9634,15759.28027,1
1981,0.142,0.782,0.076,-0.9887,15773.15039,0
1982,0.183,0.764,0.052,-0.9964,15739.5,1
